10000	1000	9000	 sysNum: 	5000	 MissingNum: 	0	 234.23749999999998	 6879	 2	 Protocol_Missing: 0	 0.0	 174.0958333333333	 39.89999999999999	 20.241666666666664	 4817.0	 1368.0	 694.0	 6.0	 
20000	2000	18000	 sysNum: 	10000	 MissingNum: 	0	 445.17083333333335	 13919	 2	 Protocol_Missing: 0	 0.0	 321.15416666666664	 81.28750000000001	 42.72916666666666	 9667.0	 2787.0	 1465.0	 7.0	 
30000	3000	27000	 sysNum: 	15000	 MissingNum: 	0	 652.5166666666671	 21028	 2	 Protocol_Missing: 0	 0.0	 461.70833333333354	 124.25	 66.55833333333334	 14486.0	 4260.0	 2282.0	 7.0	 
40000	4000	36000	 sysNum: 	20000	 MissingNum: 	0	 869.4583333333337	 28466	 2	 Protocol_Missing: 0	 0.0	 608.2708333333336	 168.75833333333333	 92.42916666666666	 19511.0	 5786.0	 3169.0	 7.0	 
50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 1070.1833333333332	 35156	 2	 Protocol_Missing: 0	 0.0	 748.2708333333335	 208.83333333333334	 113.07916666666667	 24119.0	 7160.0	 3877.0	 8.0	 
60000	6000	54000	 sysNum: 	30000	 MissingNum: 	0	 1266.1249999999993	 42066	 2	 Protocol_Missing: 0	 0.0	 878.85	 251.0375	 136.23749999999998	 28788.0	 8607.0	 4671.0	 7.0	 
70000	7000	63000	 sysNum: 	35000	 MissingNum: 	0	 1469.2124999999996	 49029	 2	 Protocol_Missing: 0	 0.0	 1017.7416666666666	 292.7166666666666	 158.75416666666666	 33550.0	 10036.0	 5443.0	 7.0	 
80000	8000	72000	 sysNum: 	40000	 MissingNum: 	0	 1703.1874999999993	 56859	 2	 Protocol_Missing: 0	 0.0	 1176.6124999999995	 339.29583333333335	 187.2791666666667	 38805.0	 11633.0	 6421.0	 8.0	 
90000	9000	81000	 sysNum: 	45000	 MissingNum: 	0	 1877.8958333333326	 62849	 2	 Protocol_Missing: 0	 0.0	 1297.7416666666659	 375.11249999999995	 205.04166666666666	 42958.0	 12861.0	 7030.0	 8.0	 
100000	10000	90000	 sysNum: 	50000	 MissingNum: 	0	 2096.4999999999995	 70344	 2	 Protocol_Missing: 0	 0.0	 1447.8333333333321	 419.6791666666667	 228.98749999999995	 48104.0	 14389.0	 7851.0	 8.0	 
10000	1000	9000	 sysNum: 	5000	 MissingNum: 	0	 232.34166666666667	 7006	 2	 Protocol_Missing: 0	 0.0	 170.56666666666663	 40.68749999999999	 21.0875	 4888.0	 1395.0	 723.0	 5.0	 
20000	2000	18000	 sysNum: 	10000	 MissingNum: 	0	 443.39166666666677	 14050	 2	 Protocol_Missing: 0	 0.0	 314.56250000000006	 83.76666666666667	 45.0625	 9633.0	 2872.0	 1545.0	 6.0	 
30000	3000	27000	 sysNum: 	15000	 MissingNum: 	0	 643.3291666666669	 20905	 2	 Protocol_Missing: 0	 0.0	 455.08750000000015	 122.76249999999999	 65.47916666666666	 14451.0	 4209.0	 2245.0	 6.0	 
40000	4000	36000	 sysNum: 	20000	 MissingNum: 	0	 859.0166666666665	 27916	 2	 Protocol_Missing: 0	 0.0	 605.3833333333334	 165.08333333333331	 88.55	 19220.0	 5660.0	 3036.0	 8.0	 
50000	5000	45000	 sysNum: 	25000	 MissingNum: 	0	 1079.9833333333327	 35492	 2	 Protocol_Missing: 0	 0.0	 752.2958333333333	 211.8083333333333	 115.87916666666665	 24257.0	 7262.0	 3973.0	 8.0	 
60000	6000	54000	 sysNum: 	30000	 MissingNum: 	0	 1272.687499999999	 42291	 2	 Protocol_Missing: 0	 0.0	 883.6625000000003	 251.79583333333335	 137.22916666666663	 28953.0	 8633.0	 4705.0	 7.0	 
70000	7000	63000	 sysNum: 	35000	 MissingNum: 	0	 1483.6208333333336	 49331	 2	 Protocol_Missing: 0	 0.0	 1028.1833333333334	 294.0	 161.4375	 33716.0	 10080.0	 5535.0	 8.0	 
80000	8000	72000	 sysNum: 	40000	 MissingNum: 	0	 1690.7916666666658	 56434	 2	 Protocol_Missing: 0	 0.0	 1170.9833333333327	 336.4958333333333	 183.3125	 38612.0	 11537.0	 6285.0	 8.0	 
